Id,title,rating
11120,Limits of Destiny,4.43
11121,"Muž, který sázel stromy",4.23
11122,P.S. I Like You,4.07
11123,We'll Never Be Apart,3.85
11124,Illuminati Council and Modern Illuminism,4.3
11125,Three Dark Crowns,3.87
11126,The Silent Corner,3.98
11127,عطر سنبل عطر کاج,3.78
11128,روی ماه خداوند را ببوس,3.07
11129,"The Martyr's Song (The Martyr's Song Series, Book 1) (With CD)",4.14
11130,Rara Mendut: Sebuah Trilogi,4.18
11131,Sword of the Rightful King,3.7
11132,Flashforward,3.6
11133,Home of the Gentry,3.91
11134,Londonstani,3.33
11135,The Blind Side: Evolution of a Game,4.17
11136,The Mauritius Command,4.35
11137,Pish Posh,3.81
11138,The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life,3.88
11139,"Come, Thou Tortoise",3.94
11140,Galahad at Blandings,4.25
11141,And the Hippos Were Boiled in Their Tanks,3.71
11142,O Continente - Volume I,4.53
11143,Mythologies,4.11
11144,Promises,4.04
11145,Mona Lisa Blossoming,4
11146,Mona Lisa Darkening,3.97
11147,Alta,4.02
11148,"Bring Me a Unicorn: Diaries and Letters of Anne Morrow Lindbergh, 1922-1928",3.94
11149,History of Beauty,3.76
11150,The Seven Valleys and the Four Valleys,4.78
11151,Blue Heaven,4.16
11152,Theodosia and the Eyes of Horus,4.11
11153,Dead Man's Walk,3.91
11154,I Can See You,4.24
11155,How to Be Good,3.18
11156,Here Be Monsters!,3.83
11157,The Path to Power,4.43
11158,Dangerous Games,4.18
11159,Interred with Their Bones,3.42
11160,Dreamland,3.79
11161,Report from Engine Co. 82,4.36
11162,The Willoughbys,3.77
11163,"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World",3.87
11164,Raven,3.68
11165,The Normal Christian Life,4.29
11166,The Invisible Circus,3.51
11167,The Decoy Princess,3.71
11168,Breath of Scandal,4.01
11169,Saddled and Spurred,4.23
11170,Small as an Elephant,3.96
11171,An Enemy of the People,3.87
11172,Dark Kiss,3.83
11173,The Lost Years,3.98
11174,The Absolutist,4.03
11175,True Blood Collection,4.44
11176,Hadassah: One Night with the King,4.18
11177,Licence to Live: A Seeker's Journey to Greatness,4.15
11178,Smack,3.87
11179,The Farseer Trilogy,4.35
11180,Incendies,4.39
11181,Creep,3.74
11182,The Complete Gossip Girl Series,4.08
11183,Parallel,3.59
11184,Letters to Milena: Expanded and Revised in a New Translation,3.94
11185,Time Out of Joint,3.84
11186,Çile,4.28
11187,Strange Meeting,3.86
11188,Island Beneath the Sea,4.03
11189,Omeros,3.99
11190,Fairish,3.67
11191,The Boy in the Suitcase,3.61
11192,Forever Mine,3.87
11193,بيكاسو وستاربكس,3.53
11194,A Tale of Love and Darkness,4.21
11195,Breathe,3.69
11196,صانع الظلام,3.8
11197,Floating Staircase,3.71
11198,The Archmage Unbound,4.18
11199,القرآن كائن حي,4.12
11200,Elephant Run,4.09
11201,River of Stars,4.1
11202,When You've Been Blessed (Feels Like Heaven),4.52
11203,See Me,4.39
11204,Yellow Crocus,4.27
11205,Evil Under the Sun,3.95
11206,The Sunset Limited,3.96
11207,Homestuck Book Three,4.69
11208,Victus,4.05
11209,The General of the Dead Army,3.99
11210,Screenplay: The Foundations of Screenwriting,3.93
11211,Besos de murciélago,3.45
11212,The Girl,3.7
11213,The Tennis Partner,3.89
11214,Fallen,3.71
11215,The Road Home,4.34
11216,Olvidado rey Gudú,3.95
11217,Awareness: The Key to Living in Balance,4.31
11218,Adore Me,4.41
11219,Endless Knight,4.38
11220,Blaze,3.99
11221,신의 탑 1,4.57
11222,World After,4.2
11223,Amarse con los ojos abiertos,3.7
11224,Before We Were Free,3.85
11225,Le mystère des dieux,3.78
11226,Under Wildwood,3.93
11227,Kyland,4.35
11228,Evil Games,4.33
11229,সমগ্র শিশুসাহিত্য,4.72
11230,Matilda's Last Waltz,4.17
11231,The Goldfinch,3.89
11232,La historia del loco,3.96
11233,The Young Elites,3.92
11234,The Foundation Pit,3.77
11235,The Sign of the Beaver,3.78
11236,"Rat Queens, Vol. 2: The Far Reaching Tentacles of N'rygoth",4.15
11237,American Gods,4.11
11238,四畳半神話大系 [Yojōhan Shinwa Taikei],4.29
11239,The Heart Is a Lonely Hunter,3.97
11240,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",3.57
11241,Riding Fence,4.08
11242,El curioso incidente del perro a medianoche,3.86
11243,Sklepy cynamonowe; Sanatorium pod Klepsydrą,3.99
11244,Six of Crows,4.46
11245,Just Mercy: A Story of Justice and Redemption,4.62
11246,The Unexpected Guest,3.98
11247,End of Watch,4.09
11248,In Order to Live: A North Korean Girl's Journey to Freedom,4.48
11249,"A New Life: The Chronicles of the Reverie, Novella 1",4.2
11250,The Hobbit,4.26
11251,The Grey Woods,4.19
11252,The Glass Castle,4.25
11253,Letters to the Lost,4.35
11254,"Pogingen iets van het leven te maken: Het geheime dagboek van Hendrik Groen, 83¼ jaar",3.95
11255,Children of Blood and Bone,4.28
11256,Just Friends (A Friends to Lovers Box Set),4.53
11257,You Remind Me of Me,3.61
11258,The Pickup,3.57
11259,Blood Brothers,4.16
11260,The Pagan Stone,4.14
11261,Fifteen,3.92
11262,The Women of Brewster Place,4.15
11263,Return to Sullivan's Island,3.76
11264,The 120 Days of Sodom and Other Writings,3.47
11265,حياة المسيح,3.71
11266,Blind Faith,3.69
11267,The Bell Curve: Intelligence and Class Structure in American Life,3.53
11268,The Red Queen: Sex and the Evolution of Human Nature,4.03
11269,Warriors: Tigerstar and Sasha #2: Escape from the Forest,4.11
11270,A Christmas Memory,4.24
11271,Dealova,3.43
11272,Summer in Seoul,3.9
11273,Alvin Journeyman,3.72
11274,Handling the Undead,3.47
11275,The Awful Rowing Toward God,4.22
11276,No Doubt About It,4.4
11277,Grave Secret,3.95
11278,Owlflight,3.97
11279,Something To Talk About,3.42
11280,Granny Dan,3.89
11281,Lament for a Son,4.44
11282,The Last Good Kiss,4.07
11283,Terrorist,3.16
11284,13 to Life,3.79
11285,Devoured by Darkness,4.21
11286,The First Princess of Wales,3.8
11287,Runaway Horses,4.17
11288,The Homecoming of Samuel Lake,4.09
11289,Sleepless in Scotland,4.03
11290,Double Cross,4.14
11291,"The Midwife: A Memoir of Birth, Joy, and Hard Times",4.18
11292,Vingt-quatre heures de la vie d'une femme,3.98
11293,Seven Types of Ambiguity,4.01
11294,Dinotopia: A Land Apart from Time,4.23
11295,Emily's Quest,4.11
11296,I Don't Have Enough Faith to Be an Atheist,4.19
11297,Sweep: Volume 3,4.37
11298,Between,4.32
11299,Sashenka,3.98
11300,The Little Engine That Could,4.15
11301,Letter to a Christian Nation,4.03
11302,Witchling,3.65
11303,The Land of Painted Caves,3.27
11304,Stuart: A Life Backwards,3.96
11305,Everyone Poops,4.16
11306,"Truly, Madly",3.91
11307,"Bone, Vol. 3: Eyes of the Storm",4.31
11308,Aurélia and Other Writings,3.94
11309,"Maldoror = Les Chants de Maldoror, together with a translation of Lautréamont's Poésies",4.19
11310,The Female Brain,3.81
11311,Arcade Catastrophe,4.18
11312,Naked Economics: Undressing the Dismal Science,4.01
11313,Blood Fever,4.02
11314,God's Debris: A Thought Experiment,3.96
11315,What It is Like to Go to War,3.97
11316,The Insulted and Humiliated,4.22
11317,The Next Always,4.11
11318,Bride Quartet Boxed Set,4.53
11319,October Breezes,3.68
11320,Postcards from No Man's Land,3.69
11321,Kilimanjaro and Beyond: A Life-Changing Journey,4.03
11322,The Dragon God,4.69
11323,True to the Last,4.53
11324,Charade,3.93
11325,Son of Perdition,4.4
11326,أرض البرتقال الحزين,4.02
11327,The Complete Mackenzies Collection,4.44
11328,Aurian,3.92
11329,Searching for Tomorrow,4.19
11330,Strange Angels and Betrayals,4.23
11331,TRUE,3.78
11332,Taste of Darkness,4.08
11333,A Vampire's Saving Embrace,4.14
11334,سير أعلام النبلاء,4.35
11335,The Cloud Searchers,4.36
11336,Aspho Fields,4.09
11337,مذكرات صائم,3.74
11338,صندوق الدمى,3.47
11339,Göttlich-Trilogie,4.44
11340,Queen of the World!,3.87
11341,The Son,4.08
11342,Star Cursed,4.12
11343,Underground,3.86
11344,Seawitch,3.96
11345,The Dawn Country,4.33
11346,Broken Embrace,4.18
11347,Sorta Like a Rock Star,3.93
11348,The Mighty Miss Malone,4.09
11349,Railsea,3.89
11350,Misled,3.75
11351,My Last Sigh,4.33
11352,Book of Longing,4.05
11353,Miss Pettigrew Lives for a Day,3.97
11354,The Consequences Series Box Set,4.49
11355,Courage,4.59
11356,Le Cid,3.64
11357,واي من لوف مزز,3.16
11358,Teatro Grottesco,4.09
11359,Dante Valentine: The Complete Series,3.99
11360,"Oh, wie schön ist Panama",4.32
11361,When the Butterflies Came,4.25
11362,Inside the O'Briens,3.98
11363,Blind Obsession,4.01
11364,Graduation Day,3.83
11365,The Raven Boys,4.06
11366,Chasing Windmills,3.68
11367,Sita: An Illustrated Retelling of the Ramayana,4.03
11368,Killing Sarai,4.15
11369,Noah,4.01
11370,The Dispossessed,4.2
11371,The Crystal of Yggdrasil,4.33
11372,The Old Wives' Tale,3.81
11373,No Longer Human,4.08
11374,Ne me touche pas,3.99
11375,The Darkest Minds,4.22
11376,Tiny Pretty Things,3.77
11377,El libro de Jade,3.95
11378,The Martian,4.4
11379,Qualify,4.28
11380,Evil Spy School,4.55
11381,The Bands of Mourning,4.45
11382,El resplandor,4.19
11383,The Little Prince,4.29
11384,Limits of Destiny,4.53
11385,La ladrona de libros,4.36
11386,A River Runs Through It,4.17
11387,صورة دوريان جراي,4.06
11388,Glimpse Spirit vol. 6,4.21
11389,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",3.99
11390,The Selection,4.14
11391,Arnes Nachlaß,3.6
11392,Studies in the Sermon on the Mount,4.59
11393,The Master Key System,4.21
11394,Master-Key to Riches,4.25
11395,"Go Down, Moses",3.93
11396,The Eye of the Moon,4.18
11397,Bitter Harvest,4.06
11398,Methuselah's Children,3.99
11399,Wolfcry,3.76
11400,The Tomb,4.05
11401,The Big Rock Candy Mountain,4.14
11402,Amok,4.08
11403,Two Little Girls in Blue,3.85
11404,Nervous,4.43
11405,Lucas,3.97
11406,Lord John and the Brotherhood of the Blade,3.88
11407,Gora,4.22
11408,طيور الجنوب,3.89
11409,Manifold: Time,3.76
11410,Midnight Falcon,4.23
11411,Death and the Maiden,3.94
11412,Elephant Song,3.95
11413,Intrinsical,3.77
11414,Refrain,3.85
11415,Home Repair,3.16
11416,A Loving Scoundrel,4.16
11417,Scent of Darkness,3.96
11418,First Day,3.93
11419,Yearbook,3.83
11420,The Postcard Killers,3.79
11421,First Step 2 Forever,4.25
11422,Tautan Hati,4.32
11423,Walking,3.92
11424,Darkness Revealed,4.18
11425,El Paraíso en la otra esquina,3.8
11426,The Cross of Lead,3.6
11427,Toutes ces choses qu'on ne s'est pas dites,3.84
11428,Keeping Promise Rock,4.17
11429,Born to Bite,4.21
11430,The Year of Secret Assignments,3.91
11431,Ferien auf Saltkrokan,4.3
11432,Supernova,3.96
11433,Prisoner of Tehran,4.18
11434,When Genius Failed: The Rise and Fall of Long-Term Capital Management,4.18
11435,"Kissing Annabel: Love, Ghosts, and Facial Hair; A Place Like This",3.33
11436,The Four Fingers of Death,3.34
11437,Woman at Point Zero,4
11438,Out of Sight,3.93
11439,Dark Taste of Rapture,4.36
11440,Playing the Enemy: Nelson Mandela and the Game That Made a Nation,4.12
11441,Raja,3.51
11442,There Was an Old Lady Who Swallowed a Fly (Classic Books),4.21
11443,Special Forces,4.53
11444,I Am Wolf,4.3
11445,The Locket,3.65
11446,Becoming,3.86
11447,"Dearly, Departed",3.83
11448,Do-It-Yourself Book,4.18
11449,The Lost Wife,4.2
11450,Ultramarathon Man: Confessions of an All-Night Runner,3.95
11451,Across the River and into the Trees,3.34
11452,Vajda: Príncipe Inmortal,4.39
11453,The Wild Road,3.94
11454,The Last Full Measure,4.23
11455,"Listen, Little Man!",4.03
11456,Foretold: 14 Tales of Prophecy and Prediction,3.97
11457,Witch Week,3.91
11458,Memento,3.94
11459,The Black Rose,4.4
11460,The Line of Illeniel,4.08
11461,The Orchardist,3.76
11462,إصلاح القلوب,4.18
11463,طواحين بيروت,3.84
11464,النباهة والاستحمار,3.81
11465,The Chronicles of Audy: 4R,4.28
11466,The Adventures of Feluda,4.34
11467,Chasing Daisy,4.07
11468,Batman: The Man Who Laughs,4.1
11469,Dare Me,3.23
11470,Extreme Exposure,3.92
11471,"Shadow Falls, Complete Series: 5 Books + 2 Short Stories",4.73
11472,Gomorrah,3.74
11473,Water Falls Down,4
11474,Brothers to the Death,4.46
11475,Ashes of Roses,3.98
11476,The Undead Pool,4.43
11477,Prince of the Elves,4.38
11478,Being Jamie Baker,4.02
11479,Sunset at Blandings,4.09
11480,شازده احتجاب,3.75
11481,Crossing the Line,4.04
11482,Strange and Ever After,3.81
11483,Edge of Eternity,4.08
11484,O Alienista,4.04
11485,Wild: From Lost to Found on the Pacific Crest Trail,3.98
11486,Suicide Watch,4.26
11487,Tenggelamnya Kapal Van Der Wijck,4.19
11488,Dork Diaries Book 6: Tales from a Not-So-Happy Heartbreaker,4.41
11489,Retrato en sangre,3.62
11490,Wildwood Imperium,4
11491,"Ender's Game, Volume 1: Battle School",4.37
11492,Puddle Jumping,4.31
11493,The Goldfinch,3.89
11494,"Howl, Kaddish and Other Poems",4.04
11495,White Bird in a Blizzard,3.56
11496,The One Plus One,3.95
11497,"Batman, Volume 3: Death of the Family",4.33
11498,The Russian Concubine,3.73
11499,Emily Windsnap and the Castle in the Mist,4.01
11500,The Fate of Ten,4.32
11501,The Book of Tomorrow,3.66
11502,Dystopia Boy: The Unauthorized Files,4.58
11503,უოლდენი ანუ ტყეში ცხოვრება,3.8
11504,The Foxhole Court,4.13
11505,The Zombie Room,3.6
11506,Cress,4.45
11507,The Score,4.26
11508,Il libro dell'inquietudine di Bernardo Soares,4.48
11509,Murder Most Unladylike: A Wells & Wong Mystery,3.95
11510,El Maestro y Margarita,4.31
11511,La espada del destino,4.39
11512,"Montmorency: Thief, Liar, Gentleman?",3.82
11513,The Iceman Cometh,3.95
11514,Discourse on Method and Meditations on First Philosophy,3.69
11515,The Dosadi Experiment,3.8
11516,The Blood of Flowers,3.95
11517,The Captain's Verses,4.25
11518,Smoky the Cow Horse,3.95
11519,A Noble Radiance,3.95
11520,Charmed Thirds,3.78
11521,Wyvernhail,3.93
11522,The General's Daughter,4.08
11523,The Law of Nines,3.6
11524,Crazy for the Storm: A Memoir of Survival,3.59
11525,Pimp: The Story of My Life,3.96
11526,The Professor's House,3.75
11527,They Thirst,3.9
11528,God: A Biography,3.92
11529,The Dragon Waiting,3.79
11530,Brave Story,4.17
11531,"Peace, Love, and Baby Ducks",3.75
11532,The Mezzanine,3.9
11533,Spieltrieb,3.87
11534,"Ellana, la Prophétie",4.65
11535,Mortal Coils,4.05
11536,Demon Girl,3.57
11537,The Braided Path,4.01
11538,Tweak: Growing Up On Methamphetamines,3.94
11539,The FitzOsbornes in Exile,4.06
11540,The Little Giant of Aberdeen County,3.63
11541,Safe Harbor,4.32
11542,"The Biology of Belief: Unleashing the Power of Consciousness, Matter and Miracles",4.21
11543,The Holocaust Industry: Reflections on the Exploitation of Jewish Suffering,4.05
11544,Plume précédé de Lointain intérieur,3.82
11545,Parrotfish,3.73
11546,How I Found Freedom in an Unfree World: A Handbook for Personal Liberty,4.09
11547,"Dead, Undead, or Somewhere in Between",3.74
11548,Chasing Brooklyn,4.08
11549,The King's Blood,4
11550,...And the Stars Will Sing,3.59
11551,Zazen,3.59
11552,Reign of Blood,3.65
11553,Cronache del mondo emerso: La trilogia completa,4.09
11554,Best Friends Forever,3.49
11555,The Lost Conspiracy,4.11
11556,Dancing on the Edge,3.86
11557,The Collector,3.54
11558,The Quiet Room: A Journey Out of the Torment of Madness,4.02
11559,Slash,3.96
11560,The Female Eunuch,3.73
11561,Don't You Wish,3.82
11562,Netherworld,3.8
11563,Time and the Gods,3.9
11564,Hades' Disciples,3.71
11565,A Matter of Honor,3.91
11566,Lies Beneath,3.67
11567,Discourse on the Origin of Inequality,3.83
11568,A Different Kind Of Fairy Tale,3.74
11569,Emotional Intelligence: Why It Can Matter More Than IQ,4
11570,A Place of Execution,4.1
11571,Been So Long,4.25
11572,عن الرجال والبنادق,4.03
11573,The First Judgement,4.32
11574,Cities of the Red Night,3.78
11575,The Righteous Mind: Why Good People Are Divided by Politics and Religion,4.2
11576,O Quarto Arcano - O Anjo Negro,4.15
11577,Negeri Di Ujung Tanduk,4.2
11578,Cão Como Nós,3.77
11579,Fighting for You,4.11
11580,رحلتي مع غاندي,3.64
11581,The Crossover,4.24
11582,Sutera Bidadari,4.44
11583,Sketchy Behavior,3.82
11584,The Lemonade Crime,3.99
11585,Ariel: The Restored Edition,4.28
11586,The Atlantis Gene,3.7
11587,The Sound,3.89
11588,世界一初恋 ~小野寺律の場合3~ [Sekaiichi Hatsukoi - Onodera Ritsu no Baai 3],4.42
11589,A Máquina de Fazer Espanhóis,4.22
11590,Gölgesizler,4.2
11591,Midwinterblood,3.71
11592,Sins & Shadows,3.36
11593,Malcolm X: A Life of Reinvention,4.21
11594,Avec maman,3.9
11595,Guardian,3.97
11596,The Wisdom of Crowds,3.81
11597,The Manhattan Hunt Club,3.98
11598,Riding Freedom,4.14
11599,Forbidden,4.05
11600,48,3.74
11601,Hyperversum,4.07
11602,Solitary,4.18
11603,The Kiss of Deception,4.04
11604,The Private Papers of Eastern Jewel,3.41
11605,How to Say Goodbye in Robot,3.83
11606,Letter from the Birmingham Jail,4.66
11607,Paprika,3.26
11608,Falling Kingdoms,3.82
11609,"Marbles: Mania, Depression, Michelangelo, and Me",3.95
11610,Emily Windsnap and the Monster from the Deep,3.94
11611,The Prophetic Imagination,4.3
11612,A Season in Hell,4.13
11613,Stars,3.76
11614,The Corner: A Year in the Life of an Inner-City Neighborhood,4.42
11615,Evna,4.44
11616,The Zodiac Legacy: Convergence,3.83
11617,The Cloak Society,4.14
11618,Infinite Jest,4.3
11619,#GIRLBOSS,3.69
11620,Urban Shaman,3.72
11621,Sweet,3.62
11622,The Last Wish,4.21
11623,القرآن الكريم,4.34
11624,El niño con el pijama de rayas,4.12
11625,Crystal Storm,4.27
11626,The Thousandth Floor,3.69
11627,Perfect,4.22
11628,Pulang,4.34
11629,A Game of Thrones,4.45
11630,"The Year I Turned 25: A Memoir About Sex, Anxiety and a Dog Named She-Devil",4.16
11631,Loyalty and Deceit,3.75
11632,The Drunk Detective: A Dotty Davis Comedy Suspense,3.25
11633,Misery,4.13
11634,"Jeremy Thatcher, Dragon Hatcher",4.02
11635,Tortured for Christ,4.35
11636,Created to be His Help Meet,3.66
11637,The Next Big Thing,3.69
11638,The Mind Parasites,3.79
11639,One Bullet Away: The Making of a Marine Officer,4.17
11640,The History of the Siege of Lisbon,3.81
11641,Daniel's Story,4.11
11642,Who Put That Hair in My Toothbrush?,3.85
11643,A Perfect Evil,4.03
11644,Demon Thief,4.15
11645,Small Change: The Secret Life of Penny Burford,3.94
11646,The Road of the Dead,3.81
11647,"Carry on, Jeeves",4.28
11648,The Things That Keep Us Here,3.92
11649,A Murder for Her Majesty,4.21
11650,Folly,4.01
11651,Fallen Dragon,4.06
11652,The Secret Year,3.6
11653,Unwritten Rules,3.65
11654,Dianetics: The Modern Science of Mental Health,2.32
11655,The Journey,4
11656,Spirit Walker,4.25
11657,Marvels,4.22
11658,The Restorer,4.15
11659,The Dream of Perpetual Motion,3.5
11660,The Tent,3.69
11661,Violet Eyes:  A Retelling of The Princess and the Pea,3.96
11662,Nero Corleone,4.08
11663,You Have to Stop This,4.34
11664,Goddess: The Secret Lives of Marilyn Monroe,3.91
11665,Junia,4.21
11666,De overgave,3.83
11667,"Winter: A Berlin Family, 1899-1945",4.1
11668,"Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance",4.08
11669,"Bianca come il latte, rossa come il sangue",3.52
11670,"Love, Lucy",4.19
11671,Black as Night,4.22
11672,Paint the Wind,4.27
11673,The Ladies' Paradise,3.98
11674,تصوف: منقذو الآلهة,4.02
11675,Belle,4.24
11676,The Music of the Primes: Searching to Solve the Greatest Mystery in Mathematics,4.07
11677,Special Forces - Soldiers,4.42
11678,Common Stocks and Uncommon Profits and Other Writings,4.11
11679,محال,3.31
11680,The Lemonade War,3.89
11681,"I, Zombie",3.68
11682,Save the Cupcake!,4.21
11683,Η αίθουσα του θρόνου,4.19
11684,I For You,4.01
11685,من او,3.78
11686,The Nine Lives of Chloe King,3.79
11687,The Deceiver,3.99
11688,The Shadow Society,3.86
11689,Red Sorghum,3.73
11690,Everbound,4.06
11691,Tiger Lily,3.98
11692,The Books of Magic,4.08
11693,Remember Me,4.31
11694,Storm Shells,4.51
11695,Addicted to You,3.88
11696,Revan,3.92
11697,"Kau, Aku & Sepucuk Angpau Merah",4.14
11698,Apt Pupil,3.85
11699,Pornography: Men Possessing Women,3.74
11700,The Stonekeeper,4.15
11701,The Last Council,4.39
11702,Life on the Refrigerator Door,3.65
11703,Too Consumed,4.24
11704,معماى هويدا,4.04
11705,One Man's Meat,4.28
11706,The Rainy Day Man,3.86
11707,Trois Chevaux,3.72
11708,Les Misérables: Volume Two,4.39
11709,The Bachelor of Arts,3.8
11710,Something Real,3.94
11711,The Mind’s I: Fantasies and Reflections on Self and Soul,4.13
11712,The Hunted,4.51
11713,Outer Dark,3.88
11714,Redemption,4.38
11715,The Girl Who Came Home,3.84
11716,Kristy's Great Idea,4.15
11717,The Invincible,4.18
11718,Brújulas que buscan sonrisas perdidas,3.83
11719,Mockingbird,4.12
11720,The Singing Tree,4.05
11721,Truth,4.1
11722,الهول,3.35
11723,Snow White and Rose Red,3.75
11724,Start Something That Matters,4.02
11725,مرآة تبحث عن وجه,3.64
11726,The Life of God (as Told by Himself),3.81
11727,Obsessive Genius: The Inner World of Marie Curie,4.01
11728,George's Secret Key to the Universe,3.98
11729,Zac and Mia,3.69
11730,Born of Fire,4.33
11731,The Legend of the Wandering King,3.97
11732,Tulip Fever,3.51
11733,El pabellón de oro,3.98
11734,The Virgin Suicides,3.84
11735,Avery,3.98
11736,The Maze Runner,4.03
11737,Elena Vanishing,3.94
11738,"Superintelligence: Paths, Dangers, Strategies",3.87
11739,The Doors of Perception,3.94
11740,Sete Minutos Depois da Meia-Noite,4.37
11741,Mordacious,4.51
11742,Wintersong,3.59
11743,Vidas Secas,4.06
11744,मुनामदन,4.3
11745,Nightfall,4.69
11746,The Female of the Species,4.24
11747,Crooked Kingdom,4.62
11748,The Boy in the Dress,4.13
11749,Il bar sotto il mare,3.82
11750,Love is Eternal,4.03
11751,The Lady or the Tiger and Other Stories,3.85
11752,Speaks the Nightbird,4.12
11753,The Zero,3.51
11754,DragonLight,4.24
11755,Three Men in a Boat and Three Men on the Bummel,4.09
11756,Fourth Comings,3.68
11757,The Courts of Chaos,4.18
11758,Plum Bun: A Novel without a Moral,3.89
11759,"An Unreasonable Woman: A True Story of Shrimpers, Politicos, Polluters, and the Fight for Seadrift, Texas",3.88
11760,The Big Book of Girl Stuff,4.24
11761,Black Girl Lost,4.35
11762,This I Believe: The Personal Philosophies of Remarkable Men and Women,3.85
11763,Devil's Bride,4.1
11764,Stake That,3.98
11765,Becoming Human,4.27
11766,Ravenheart,4.24
11767,"Bleach, Volume 02",4.28
11768,This Alien Shore,4.04
11769,The Edge Chronicles 10: The Immortals: The Book of Nate,4.38
11770,Mélusine,3.63
11771,Twisted,4.04
11772,Boost,4.04
11773,Merle's Door: Lessons from a Freethinking Dog,4.19
11774,Side Jobs: Stories from the Dresden Files,4.25
11775,I Have Lived a Thousand Years,4.15
11776,A Companion Workbook to What the Torah Teaches Us About Survival,4.33
11777,The Immortals Collection,4.21
11778,Wonderland,3.8
11779,The Candlestone,4.13
11780,A Witch's Beauty,4.13
11781,Citadelle,4.18
11782,Winter Prey,4.25
11783,Travels in the Scriptorium,3.23
11784,The Silver Brumby / Wild Echoes Ringing,4.39
11785,Dust of Dreams,4.31
11786,Mystic Embrace,4.04
11787,Si tú me dices ven lo dejo todo... pero dime ven,3.41
11788,"When You Eat at the Refrigerator, Pull Up a Chair: 50 Ways to Feel Thin, Gorgeous, and Happy {When You Feel Anything But}",3.99
11789,ليتها تقرأ,3.01
11790,The Book of Fours,4.13
11791,Enkelten verta,3.7
11792,Winter's Bone,3.92
11793,You are Not Alone: Michael: Through a Brother's Eyes,4.33
11794,Black Seconds,3.83
11795,Girlchild,3.52
11796,"The Mark of the Golden Dragon: Being an Account of the Further Adventures of Jacky Faber, Jewel of the East, Vexation of the West, and Pearl of the South China Sea",4.09
11797,Mr Palomar,3.9
11798,Les Enfants de la liberté,3.93
11799,"Maximum Ride, Vol. 2",4.33
11800,Chains,4.09
11801,Years,4.22
11802,El haiku de las palabras perdidas,4.18
11803,Death Watch,3.83
11804,قوم لا يتطهرون,3.74
11805,Ted and Raymond's Sea Adventure,4.89
11806,Zastavte Dubčeka!,4.13
11807,Interesting Times,4.18
11808,Vessel,3.85
11809,Kärleken,4.14
11810,Mastermind: How to Think Like Sherlock Holmes,3.54
11811,Paul à Québec,4.39
11812,Earth Unaware,3.97
11813,Love Is the Higher Law,3.76
11814,Curfewed Night,3.96
11815,Fontamara,3.71
11816,El cuarto Arcano II. El puerto de las tormentas,4.22
11817,القوقعة: يوميات متلصص,4.31
11818,Charlotte Street,3.54
11819,Early from the Dance,4.16
11820,Menagerie,4.03
11821,Glitch,3.72
11822,Symptoms of Being Human,4.18
11823,Filthy Beautiful Lies,4.03
11824,The Lions of Little Rock,4.23
11825,The Last American Man,3.8
11826,Humility,4.39
11827,Stray,3.99
11828,The Alloy of Law,4.21
11829,Dom Wars: Round Four,4.4
11830,Dom Wars: Round One,3.72
11831,The Sacrifice,4.43
11832,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",4.2
11833,The Alchemyst,3.84
11834,"Voyage on the Great Titanic: The Diary of Margaret Ann Brady, R.M.S. Titanic, 1912",3.96
11835,The Earth Dwellers,4.33
11836,The Star Beast,3.77
11837,"New Moon: The Graphic Novel, Vol. 2",4.33
11838,Hyde,3.76
11839,Full Moon,4.17
11840,Stumbling on Happiness,3.83
11841,The Book of Strange New Things,3.66
11842,Terminal,4.36
11843,Un beso en París,4.04
11844,The Love That Split the World,3.65
11845,The Wind Singer,3.85
11846,The Compound,3.88
11847,The Beech Tree,4.12
11848,Dark Age,3.78
11849,11.22.63,4.3
11850,La strada,3.96
11851,Of Human Bondage,4.13
11852,Hold Me Closer: The Tiny Cooper Story,3.61
11853,Frost Like Night,3.99
11854,Cruel Crown,3.63
11855,The Green Mile,4.43
11856,Take the Key and Lock Her Up,4.07
11857,The Helicopter Pilot: A Novel,4.21
11858,Regarding the Pain of Others,4.02
11859,How to Sleep with a Movie Star,3.69
11860,The Mismeasure of Man,4.04
11861,City of Night,3.91
11862,"Wilderness: The Lost Writings, Vol. 1",3.95
11863,A Rose for the Crown,4.02
11864,Shepherding a Child's Heart,4.22
11865,Eggs,3.61
11866,The Essential Writings of Ralph Waldo Emerson,4.35
11867,"Something, Maybe",3.72
11868,Rising Tides,4.16
11869,The Notebooks of Lazarus Long,4.06
11870,Midnight Mass,3.85
11871,Kitty Raises Hell,4
11872,In Between,4.01
11873,Snitch,4.17
11874,No Regrets and Other True Cases,3.94
11875,Night Mare,3.82
11876,Chosen by a Horse,4.07
11877,What the Body Remembers,3.91
11878,Seven Daughters and Seven Sons,4.21
11879,Stormrider,4.19
11880,The Demon's Lexicon,3.73
11881,The Drawing of the Dark,3.92
11882,One Foot in Eden,4.12
11883,Makers,3.71
11884,Gentle Rogue,4.22
