Id,title,rating
196,The Maze Runner,4.03
197,Treasure Island,3.83
198,The World According to Garp,4.08
199,The Neverending Story,4.18
200,A Farewell to Arms,3.79
201,David Copperfield,3.97
202,Wicked: The Life and Times of the Wicked Witch of the West,3.52
203,Thirteen Reasons Why,3.98
204,A Storm of Swords,4.54
205,Shōgun,4.38
206,The Other Boleyn Girl,4.05
207,Extremely Loud and Incredibly Close,3.97
208,Schindler's List,4.34
209,Last Sacrifice,4.41
210,Fallen,3.73
211,His Dark Materials,4.26
212,A Little Princess,4.19
213,A Confederacy of Dunces,3.89
214,The Sun Also Rises,3.82
215,The Secret Magdalene,4.21
216,Spirit Bound,4.36
217,Jurassic Park,3.99
218,The Boy in the Striped Pajamas,4.12
219,The Velveteen Rabbit,4.29
220,Beloved,3.79
221,The Silmarillion,3.9
222,Murder on the Orient Express,4.16
223,Cat's Cradle,4.17
224,The Crucible,3.56
225,Girl with a Pearl Earring,3.86
226,Shiver,3.77
227,A Light in the Attic,4.34
228,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,4.41
229,She's Come Undone,3.86
230,The Iliad/The Odyssey,4.03
231,The Trial,3.99
232,The Lost Hero,4.35
233,The Wind in the Willows,3.98
234,The Night Circus,4.04
235,The God of Small Things,3.93
236,The Screwtape Letters,4.21
237,Marley and Me: Life and Love With the World's Worst Dog,4.13
238,Clockwork Prince,4.45
239,The Silence of the Lambs,4.17
240,City of Fallen Angels,4.15
241,Uglies,3.86
242,The Selection,4.14
243,The Phantom of the Opera,3.97
244,Marked,3.79
245,Ella Enchanted,3.97
246,The Wind-Up Bird Chronicle,4.17
247,Man's Search for Meaning,4.35
248,The Sound and the Fury,3.86
249,The Shack,3.75
250,Fear and Loathing in Las Vegas,4.08
251,Blindness,4.1
252,Midnight Sun,4.02
253,Roots: The Saga of an American Family,4.43
254,A Clash of Kings,4.41
255,The Complete Calvin and Hobbes,4.82
256,Stranger in a Strange Land,3.91
257,Island of the Blue Dolphins,3.81
258,Throne of Glass,4.22
259,For Whom the Bell Tolls,3.96
260,زندگی مه آلود پریا,3.97
261,The Guernsey Literary and Potato Peel Pie Society,4.14
262,Catching Fire,4.29
263,The Green Mile,4.43
264,The House of the Spirits,4.21
265,Delirium,3.99
266,The Girl Who Kicked the Hornet's Nest,4.21
267,I Know This Much Is True,4.18
268,White Oleander,3.95
269,The Vampire Lestat,4.06
270,Beautiful Disaster,4.13
271,Paper Towns,3.85
272,Othello,3.88
273,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26
274,The Once and Future King,4.08
275,Flow Down Like Silver: Hypatia of Alexandria,4.44
276,Misery,4.13
277,Into the Wild,3.96
278,King Lear,3.9
279,The Idiot,4.19
280,Speak,4.01
281,Howl's Moving Castle,4.3
282,Cinder,4.15
283,Neverwhere,4.17
284,The Historian,3.78
285,Uncle Tom's Cabin,3.85
286,Invisible Man,3.85
287,James and the Giant Peach,4
288,Inkheart,3.87
289,All Creatures Great and Small,4.32
290,Leaves of Grass,4.12
291,The Thirteenth Tale,3.95
292,Graceling,4.09
293,Candide,3.76
294,The Cider House Rules,4.11
295,Paradise Lost,3.8
296,The Things They Carried,4.12
297,Different Seasons,4.35
298,Where the Red Fern Grows,4.05
299,The Complete Works,4.49
300,"The Complete Sherlock Holmes, Vol 1",4.5
301,Heidi,3.98
302,Foundation,4.15
303,"Are You There God? It's Me, Margaret",3.89
304,Walden,3.8
305,The Awakening,3.64
306,The Time Machine,3.88
307,The Secret History,4.09
308,Sophie's Choice,4.18
309,City of Lost Souls,4.29
310,Sophie's World,3.9
311,Norwegian Wood,4.03
312,The Prince of Tides,4.23
313,The Monster at the End of this Book,4.44
314,Dead Until Dark,3.96
315,Fried Green Tomatoes at the Whistle Stop Cafe,4.27
316,Fifty Shades Darker,3.86
317,Kafka on the Shore,4.13
318,Bridget Jones's Diary,3.76
319,The Wise Man's Fear,4.58
320,Franny and Zooey,3.98
321,The Power of One,4.34
322,Fangirl,4.1
323,Things Fall Apart,3.63
324,The Son of Neptune,4.44
325,Middlemarch,3.94
326,The Diary of a Young Girl,4.12
327,The Magician's Nephew,4.02
328,Gone Girl,4.05
329,Stardust,4.08
330,A Short History of Nearly Everything,4.2
331,Never Let Me Go,3.81
332,Mrs. Dalloway,3.79
333,A Time to Kill,4.05
334,Bel Canto,3.93
335,Gulliver's Travels,3.56
336,The Complete Novels,4.55
337,Cold Mountain,3.84
338,Fifty Shades Freed,3.87
339,The Art of Racing in the Rain,4.2
340,If I Stay,3.95
341,Love You Forever,4.35
342,Number the Stars,4.13
343,Legend,4.18
344,Black Beauty,3.95
345,The Hound of the Baskervilles,4.1
346,Blood River: A Journey to Africa's Broken Heart,4.05
347,Qurʾan / القرآن الكريم,4.34
348,Allegiant,3.63
349,The Witches,4.17
350,A Portrait of the Artist as a Young Man,3.61
351,Eleanor & Park,4.09
352,V for Vendetta,4.25
353,Eldest,3.97
354,The Mark of Athena,4.46
355,The Gunslinger,3.97
356,The Tell-Tale Heart and Other Writings,4.16
357,White Fang,3.96
358,Do Androids Dream of Electric Sheep?,4.08
359,Beautiful Creatures,3.76
360,Dark Lover,4.21
361,A Separate Peace,3.56
362,Beowulf,3.42
363,The Graveyard Book,4.12
364,Go Ask Alice,3.76
365,As I Lay Dying,3.72
366,Mansfield Park,3.85
367,The Amazing Adventures of Kavalier & Clay,4.17
368,Dear John,4.02
369,Tuck Everlasting,3.86
370,"A Child Called ""It""",4.09
371,Brisingr,4.04
372,Crescendo,4.06
373,My Ántonia,3.77
374,Mockingjay,4.03
375,The Last Song,4.14
376,The English Patient,3.88
377,The Complete Maus,4.54
378,Obsidian,4.22
379,Midnight's Children,3.99
380,The Firm,4
381,Stargirl,3.75
382,The Martian Chronicles,4.13
383,Tao Te Ching,4.31
384,The Eye of the World,4.18
385,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3.77
386,Robinson Crusoe,3.66
387,Doctor Zhivago,4.03
388,Like Water for Chocolate,3.94
389,Steppenwolf,4.12
390,Breakfast at Tiffany's,3.89
391,Me Before You,4.26
